nohup: 忽略输入
Running: filter=avg, mp=CAMP_clipping_v3
2026-04-12 00:27:11,153 - Test Accurancy: 0.2268
2026-04-12 00:27:14,182 - Flame select clients: [0, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20, 21, 22, 26, 28, 29, 31, 33, 34, 36, 38, 39]
2026-04-12 00:27:14,216 - Round number: 3 --------------------------
2026-04-12 00:27:14,216 - Evaluate global model
2026-04-12 00:27:16,242 - Multi-krum select clients: [28, 8, 24, 31, 33, 22, 26, 36, 12, 34, 13, 14, 11, 38, 21, 9, 35, 29, 23, 20, 39, 10, 18, 30, 16, 32, 37, 17, 25, 27, 15]
2026-04-12 00:27:16,254 - Round number: 4 --------------------------
2026-04-12 00:27:16,255 - Evaluate global model
2026-04-12 00:27:18,043 - Round number: 5 --------------------------
2026-04-12 00:27:18,043 - Evaluate global model
2026-04-12 00:27:18,090 - Round number: 5 --------------------------
2026-04-12 00:27:18,090 - Evaluate global model
2026-04-12 00:27:18,241 - Round number: 5 --------------------------
2026-04-12 00:27:18,242 - Evaluate global model
2026-04-12 00:27:18,433 - Averaged Train Loss: 2.1445
2026-04-12 00:27:18,433 - Test Accurancy: 0.2077
2026-04-12 00:27:19,696 - Averaged Train Loss: 1.9780
2026-04-12 00:27:19,696 - Test Accurancy: 0.2852
2026-04-12 00:27:21,155 - Averaged Train Loss: 2.0221
2026-04-12 00:27:21,155 - Test Accurancy: 0.2522
2026-04-12 00:27:21,295 - Averaged Train Loss: 2.2264
2026-04-12 00:27:21,295 - Test Accurancy: 0.1819
2026-04-12 00:27:21,513 - Averaged Train Loss: 2.0117
2026-04-12 00:27:21,514 - Test Accurancy: 0.2474
2026-04-12 00:27:29,345 - Round number: 6 --------------------------
2026-04-12 00:27:29,345 - Evaluate global model
2026-04-12 00:27:29,412 - Round number: 6 --------------------------
2026-04-12 00:27:29,412 - Evaluate global model
2026-04-12 00:27:29,493 - Round number: 6 --------------------------
2026-04-12 00:27:29,494 - Evaluate global model
2026-04-12 00:27:29,728 - Multi-krum select clients: [28, 26, 11, 24, 29, 36, 31, 33, 12, 34, 22, 8, 21, 38, 9, 14, 13, 35, 39, 10, 32, 23, 18, 16, 30, 20, 37, 25, 17, 27, 15]
2026-04-12 00:27:29,739 - Round number: 5 --------------------------
2026-04-12 00:27:29,739 - Evaluate global model
2026-04-12 00:27:30,290 - Flame select clients: [0, 5, 6, 7, 8, 9, 11, 12, 13, 14, 20, 21, 22, 26, 28, 29, 31, 34, 36, 38, 39]
2026-04-12 00:27:30,315 - Round number: 4 --------------------------
2026-04-12 00:27:30,315 - Evaluate global model
2026-04-12 00:27:31,329 - Averaged Train Loss: 1.9886
2026-04-12 00:27:31,329 - Test Accurancy: 0.2634
2026-04-12 00:27:31,425 - Averaged Train Loss: 2.2054
2026-04-12 00:27:31,425 - Test Accurancy: 0.1918
2026-04-12 00:27:31,536 - Averaged Train Loss: 1.9771
2026-04-12 00:27:31,536 - Test Accurancy: 0.2659
2026-04-12 00:27:32,183 - Averaged Train Loss: 1.9214
2026-04-12 00:27:32,183 - Test Accurancy: 0.3125
2026-04-12 00:27:33,852 - Averaged Train Loss: 2.0858
2026-04-12 00:27:33,853 - Test Accurancy: 0.2413
2026-04-12 00:27:40,120 - Round number: 7 --------------------------
2026-04-12 00:27:40,120 - Evaluate global model
2026-04-12 00:27:40,274 - Round number: 7 --------------------------
2026-04-12 00:27:40,274 - Evaluate global model
2026-04-12 00:27:40,358 - Round number: 7 --------------------------
2026-04-12 00:27:40,359 - Evaluate global model
2026-04-12 00:27:42,362 - Multi-krum select clients: [28, 33, 26, 8, 11, 29, 31, 36, 12, 21, 24, 14, 22, 34, 13, 35, 38, 39, 9, 23, 20, 10, 37, 17, 16, 30, 18, 32, 25, 27, 15]
2026-04-12 00:27:42,373 - Round number: 6 --------------------------
2026-04-12 00:27:42,373 - Evaluate global model
2026-04-12 00:27:42,560 - Averaged Train Loss: 1.9554
2026-04-12 00:27:42,560 - Test Accurancy: 0.2794
2026-04-12 00:27:42,637 - Averaged Train Loss: 2.1916
2026-04-12 00:27:42,637 - Test Accurancy: 0.1989
2026-04-12 00:27:42,682 - Averaged Train Loss: 1.9468
2026-04-12 00:27:42,682 - Test Accurancy: 0.2809
2026-04-12 00:27:46,064 - Averaged Train Loss: 1.8865
2026-04-12 00:27:46,064 - Test Accurancy: 0.3304
2026-04-12 00:27:47,066 - Flame select clients: [0, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 20, 21, 22, 24, 26, 29, 31, 33, 34, 36, 38, 39]
2026-04-12 00:27:47,108 - Round number: 5 --------------------------
2026-04-12 00:27:47,109 - Evaluate global model
2026-04-12 00:27:50,039 - Round number: 8 --------------------------
2026-04-12 00:27:50,040 - Evaluate global model
2026-04-12 00:27:50,139 - Round number: 8 --------------------------
2026-04-12 00:27:50,139 - Evaluate global model
2026-04-12 00:27:50,218 - Round number: 8 --------------------------
2026-04-12 00:27:50,218 - Evaluate global model
2026-04-12 00:27:51,442 - Averaged Train Loss: 2.0401
2026-04-12 00:27:51,442 - Test Accurancy: 0.2592
2026-04-12 00:27:53,113 - Averaged Train Loss: 1.9268
2026-04-12 00:27:53,113 - Test Accurancy: 0.2932
2026-04-12 00:27:53,358 - Averaged Train Loss: 2.1842
2026-04-12 00:27:53,359 - Test Accurancy: 0.2004
2026-04-12 00:27:53,523 - Averaged Train Loss: 1.9170
2026-04-12 00:27:53,523 - Test Accurancy: 0.2961
2026-04-12 00:27:55,308 - Multi-krum select clients: [28, 24, 26, 8, 22, 33, 11, 12, 29, 36, 31, 14, 34, 21, 13, 35, 9, 38, 17, 23, 39, 32, 37, 20, 16, 10, 18, 25, 27, 30, 15]
2026-04-12 00:27:55,319 - Round number: 7 --------------------------
2026-04-12 00:27:55,319 - Evaluate global model
2026-04-12 00:28:00,242 - Averaged Train Loss: 1.8462
2026-04-12 00:28:00,242 - Test Accurancy: 0.3485
2026-04-12 00:28:00,860 - Round number: 9 --------------------------
2026-04-12 00:28:00,860 - Evaluate global model
2026-04-12 00:28:01,151 - Round number: 9 --------------------------
2026-04-12 00:28:01,152 - Evaluate global model
2026-04-12 00:28:01,286 - Round number: 9 --------------------------
2026-04-12 00:28:01,287 - Evaluate global model
2026-04-12 00:28:03,647 - Averaged Train Loss: 1.8951
2026-04-12 00:28:03,647 - Test Accurancy: 0.3134
2026-04-12 00:28:03,776 - Flame select clients: [0, 5, 6, 7, 8, 9, 11, 12, 13, 14, 20, 21, 22, 24, 26, 28, 29, 31, 33, 34, 36, 38, 39]
2026-04-12 00:28:03,809 - Round number: 6 --------------------------
2026-04-12 00:28:03,809 - Evaluate global model
2026-04-12 00:28:03,949 - Averaged Train Loss: 2.1713
2026-04-12 00:28:03,949 - Test Accurancy: 0.2055
2026-04-12 00:28:04,156 - Averaged Train Loss: 1.8853
2026-04-12 00:28:04,157 - Test Accurancy: 0.3187
2026-04-12 00:28:08,287 - Averaged Train Loss: 2.0150
2026-04-12 00:28:08,287 - Test Accurancy: 0.2669
2026-04-12 00:28:08,763 - Multi-krum select clients: [28, 26, 12, 8, 24, 11, 22, 33, 36, 29, 31, 21, 13, 34, 14, 35, 38, 23, 37, 9, 17, 32, 10, 39, 20, 30, 16, 25, 18, 15, 27]
2026-04-12 00:28:08,775 - Round number: 8 --------------------------
2026-04-12 00:28:08,776 - Evaluate global model
2026-04-12 00:28:11,151 - Round number: 10 --------------------------
2026-04-12 00:28:11,151 - Evaluate global model
2026-04-12 00:28:11,531 - Round number: 10 --------------------------
2026-04-12 00:28:11,531 - Evaluate global model
2026-04-12 00:28:11,689 - Round number: 10 --------------------------
2026-04-12 00:28:11,689 - Evaluate global model
2026-04-12 00:28:12,897 - Averaged Train Loss: 1.8112
2026-04-12 00:28:12,897 - Test Accurancy: 0.3606
2026-04-12 00:28:14,516 - Averaged Train Loss: 1.8620
2026-04-12 00:28:14,516 - Test Accurancy: 0.3322
2026-04-12 00:28:14,840 - Averaged Train Loss: 2.1601
2026-04-12 00:28:14,840 - Test Accurancy: 0.2091
2026-04-12 00:28:15,045 - Averaged Train Loss: 1.8478
2026-04-12 00:28:15,045 - Test Accurancy: 0.3373
2026-04-12 00:28:21,195 - Flame select clients: [5, 7, 8, 9, 11, 12, 13, 14, 20, 21, 22, 24, 26, 28, 29, 31, 33, 34, 36, 38, 39]
2026-04-12 00:28:21,229 - Round number: 7 --------------------------
2026-04-12 00:28:21,230 - Evaluate global model
2026-04-12 00:28:21,887 - Round number: 11 --------------------------
2026-04-12 00:28:21,888 - Evaluate global model
2026-04-12 00:28:22,348 - Round number: 11 --------------------------
2026-04-12 00:28:22,348 - Evaluate global model
2026-04-12 00:28:22,421 - Round number: 11 --------------------------
2026-04-12 00:28:22,421 - Evaluate global model
2026-04-12 00:28:22,424 - Multi-krum select clients: [28, 8, 33, 24, 26, 29, 12, 11, 36, 22, 35, 34, 21, 31, 38, 14, 13, 23, 9, 37, 32, 20, 10, 17, 39, 18, 25, 16, 27, 30, 15]
2026-04-12 00:28:22,436 - Round number: 9 --------------------------
2026-04-12 00:28:22,436 - Evaluate global model
2026-04-12 00:28:23,844 - Averaged Train Loss: 1.9737
2026-04-12 00:28:23,844 - Test Accurancy: 0.2894
2026-04-12 00:28:24,272 - Averaged Train Loss: 1.8378
2026-04-12 00:28:24,272 - Test Accurancy: 0.3407
2026-04-12 00:28:24,736 - Averaged Train Loss: 2.1677
2026-04-12 00:28:24,736 - Test Accurancy: 0.2116
2026-04-12 00:28:24,945 - Averaged Train Loss: 1.8268
2026-04-12 00:28:24,945 - Test Accurancy: 0.3423
2026-04-12 00:28:24,984 - Averaged Train Loss: 1.7748
2026-04-12 00:28:24,984 - Test Accurancy: 0.3742
2026-04-12 00:28:33,297 - Round number: 12 --------------------------
2026-04-12 00:28:33,298 - Evaluate global model
2026-04-12 00:28:33,834 - Round number: 12 --------------------------
2026-04-12 00:28:33,834 - Evaluate global model
2026-04-12 00:28:33,991 - Round number: 12 --------------------------
2026-04-12 00:28:33,991 - Evaluate global model
2026-04-12 00:28:35,059 - Multi-krum select clients: [26, 28, 24, 29, 33, 12, 8, 11, 22, 34, 31, 36, 35, 38, 13, 21, 23, 14, 9, 10, 20, 37, 32, 39, 18, 16, 17, 25, 30, 15, 27]
2026-04-12 00:28:35,071 - Round number: 10 --------------------------
2026-04-12 00:28:35,071 - Evaluate global model
2026-04-12 00:28:35,435 - Averaged Train Loss: 1.8210
2026-04-12 00:28:35,436 - Test Accurancy: 0.3475
2026-04-12 00:28:35,790 - Averaged Train Loss: 2.1643
2026-04-12 00:28:35,790 - Test Accurancy: 0.2168
2026-04-12 00:28:35,964 - Averaged Train Loss: 1.8037
2026-04-12 00:28:35,965 - Test Accurancy: 0.3538
2026-04-12 00:28:36,072 - Flame select clients: [0, 6, 7, 8, 9, 11, 12, 13, 14, 20, 21, 22, 24, 26, 28, 29, 31, 33, 34, 36, 38]
2026-04-12 00:28:36,109 - Round number: 8 --------------------------
2026-04-12 00:28:36,109 - Evaluate global model
